start_date,lowest_price,weekday
2019-05-25 09:30:00,75.4,saturday
2019-05-25 10:30:00,75.4,saturday
2019-05-25 11:30:00,75.4,saturday
2019-05-25 12:30:00,75.4,saturday
2019-05-25 17:30:00,66.75,saturday
2019-05-25 18:30:00,58.15,saturday
2019-05-25 19:30:00,58.15,saturday
2019-05-25 20:30:00,58.15,saturday
2019-05-24 05:50:00,40.95,friday
2019-05-24 06:30:00,40.95,friday
2019-05-24 07:00:00,40.95,friday
2019-05-24 07:30:00,40.95,friday
2019-05-24 08:00:00,58.15,friday
2019-05-24 08:30:00,58.15,friday
2019-05-24 10:30:00,58.15,friday
2019-05-24 11:30:00,75.4,friday
2019-05-24 12:30:00,85.1,friday
2019-05-24 19:00:00,75.4,friday
2019-05-24 19:30:00,75.4,friday
2019-05-24 20:00:00,75.4,friday
2019-05-24 21:25:00,75.4,friday
2019-05-23 05:50:00,40.95,thursday
2019-05-23 06:10:00,40.95,thursday
2019-05-23 07:00:00,49.55,thursday
2019-05-23 07:20:00,49.55,thursday
2019-05-23 07:30:00,49.55,thursday
2019-05-23 08:00:00,58.45,thursday
2019-05-23 08:20:00,58.45,thursday
2019-05-23 08:30:00,58.45,thursday
2019-05-23 09:30:00,75.4,thursday
2019-05-23 10:30:00,49.55,thursday
2019-05-23 11:30:00,49.55,thursday
2019-05-23 12:30:00,49.55,thursday
2019-05-23 14:00:00,66.75,thursday
2019-05-23 14:30:00,66.75,thursday
2019-05-23 15:00:00,66.75,thursday
2019-05-23 16:00:00,68.65,thursday
2019-05-23 16:30:00,68.65,thursday
2019-05-23 17:30:00,68.65,thursday
2019-05-23 18:00:00,68.65,thursday
2019-05-23 18:30:00,68.65,thursday
2019-05-23 19:00:00,68.65,thursday
2019-05-23 19:30:00,66.75,thursday
2019-05-23 20:00:00,66.75,thursday
2019-05-23 20:30:00,66.75,thursday
2019-05-23 21:25:00,66.75,thursday
2019-05-22 06:10:00,40.95,wednesday
2019-05-22 06:30:00,40.95,wednesday
2019-05-22 07:20:00,40.95,wednesday
2019-05-22 07:30:00,40.95,wednesday
2019-05-22 08:00:00,40.95,wednesday
2019-05-22 08:20:00,40.95,wednesday
2019-05-22 08:30:00,40.95,wednesday
2019-05-22 09:00:00,40.95,wednesday
2019-05-22 09:30:00,75.4,wednesday
2019-05-22 10:30:00,85.1,wednesday
2019-05-22 11:30:00,85.1,wednesday
2019-05-22 14:00:00,66.75,wednesday
2019-05-22 14:30:00,66.75,wednesday
2019-05-22 15:00:00,66.75,wednesday
2019-05-22 16:00:00,68.65,wednesday
2019-05-22 17:00:00,68.65,wednesday
2019-05-22 17:30:00,85.1,wednesday
2019-05-22 18:00:00,68.65,wednesday
2019-05-22 19:30:00,49.55,wednesday
2019-05-22 20:00:00,49.55,wednesday
2019-05-22 20:30:00,49.55,wednesday
2019-05-22 21:25:00,49.55,wednesday
2019-05-21 06:30:00,58.45,tuesday
2019-05-21 07:00:00,58.45,tuesday
2019-05-21 07:20:00,58.45,tuesday
2019-05-21 07:30:00,58.45,tuesday
2019-05-21 08:00:00,58.45,tuesday
2019-05-21 08:20:00,75.39,tuesday
2019-05-21 08:30:00,75.39,tuesday
2019-05-21 09:00:00,75.39,tuesday
2019-05-21 10:30:00,66.75,tuesday
2019-05-21 11:30:00,58.15,tuesday
2019-05-21 12:30:00,58.15,tuesday
2019-05-21 14:00:00,58.15,tuesday
2019-05-21 14:30:00,58.15,tuesday
2019-05-21 15:00:00,58.15,tuesday
2019-05-21 15:30:00,58.15,tuesday
2019-05-21 16:00:00,58.45,tuesday
2019-05-21 18:00:00,68.65,tuesday
2019-05-21 19:00:00,68.65,tuesday
2019-05-21 19:30:00,49.55,tuesday
2019-05-21 20:00:00,49.55,tuesday
2019-05-21 20:30:00,49.55,tuesday
2019-05-21 21:25:00,49.55,tuesday
2019-05-20 05:50:00,58.15,monday
2019-05-20 06:10:00,58.15,monday
2019-05-20 07:00:00,68.65,monday
2019-05-20 07:20:00,68.65,monday
2019-05-20 07:30:00,68.65,monday
2019-05-20 08:00:00,68.65,monday
2019-05-20 08:20:00,68.65,monday
2019-05-20 08:30:00,85.1,monday
2019-05-20 10:30:00,75.4,monday
2019-05-20 14:00:00,75.39,monday
2019-05-20 14:30:00,75.39,monday
2019-05-20 15:00:00,75.39,monday
2019-05-20 16:00:00,78.8,monday
2019-05-20 17:00:00,85.1,monday
2019-05-20 17:30:00,75.4,monday
2019-05-20 18:00:00,75.4,monday
2019-05-20 19:30:00,40.95,monday
2019-05-20 20:00:00,40.95,monday
2019-05-20 20:30:00,40.95,monday
2019-05-20 21:25:00,49.55,monday
2019-05-19 06:20:00,58.15,sunday
2019-05-19 07:30:00,66.75,sunday
2019-05-19 08:30:00,66.75,sunday
2019-05-19 09:30:00,85.1,sunday
2019-05-19 10:30:00,85.1,sunday
2019-05-19 14:00:00,88.95,sunday
2019-05-19 16:00:00,100.4,sunday
2019-05-19 17:00:00,100.4,sunday
2019-05-19 19:30:00,66.75,sunday
2019-05-19 20:00:00,66.75,sunday
2019-04-22 05:50:00,66.75,monday
2019-04-22 07:00:00,75.4,monday
2019-04-22 07:30:00,75.4,monday
2019-05-18 06:20:00,66.75,saturday
2019-05-18 07:30:00,85.1,saturday
2019-05-18 08:30:00,85.08,saturday
2019-05-18 09:30:00,75.4,saturday
2019-05-18 10:30:00,75.4,saturday
2019-05-18 11:30:00,75.4,saturday
2019-05-18 17:30:00,75.4,saturday
2019-05-18 19:30:00,49.55,saturday
2019-05-18 20:30:00,49.55,saturday
2019-05-17 05:50:00,40.95,friday
2019-05-17 06:30:00,40.95,friday
2019-05-17 07:00:00,40.95,friday
2019-05-17 07:30:00,40.95,friday
2019-05-17 08:00:00,75.4,friday
2019-05-17 08:30:00,75.4,friday
2019-05-17 10:30:00,75.4,friday
2019-05-17 11:30:00,75.4,friday
2019-05-17 12:30:00,85.08,friday
2019-05-17 14:00:00,68.65,friday
